to read ,читать/про,Common verbs
to receive ,получать/получить,Common verbs
to recommend ,рекомендовать,Common verbs
to refund ,возмещать/возместить,Common verbs
"to regret, be sorry ",жалеть/сожалеть,Common verbs
to remain ,оставаться/остаться,Common verbs
to remember ,помнить/вс,Common verbs
"to reminisce, recall ",вспоминать,Common verbs
to repair ,чинить/по,Common verbs
to repeat ,повторять/повторить,Common verbs
to replace ,заменять/заменить,Common verbs
to reply ,отвечать/ответить,Common verbs
to research ,исследовать/от,Common verbs
to reserve ,заказывать/заказать,Common verbs
to rest ,отдыхать/отдохнуть,Common verbs
to return ,возвращать/вернуть,Common verbs
to return; to go back ,возвращаться/вернуться,Common verbs
to ride a horse ,кататься на лошади,Common verbs
to ring (a bell) ,звонить/по,Common verbs
to run ,бегать/бежать//побежать,Common verbs
to save ,спасать/спасти,Common verbs
to say ,говорить/сказать,Common verbs
to see ,видеть/у,Common verbs
to seem ,казаться/по,Common verbs
to sell ,продавать/продать,Common verbs
to send ,посылать/послать,Common verbs
to serve ,служить,Common verbs
to show ,показывать/показать,Common verbs
to sign ,подписывать/подписать,Common verbs
to sing ,петь/с,Common verbs
to sit ,сидеть/по,Common verbs
to sit down ,садиться/сесть,Common verbs
to sit (someone); to plant ,садить/по,Common verbs
to skate ,кататься на коньах,Common verbs
to ski ,кататься на лыжах,Common verbs
to sleep ,спать/по,Common verbs
to smile ,улыбаться/улыбнуться,Common verbs
to smoke ,курить/вы,Common verbs
to solve (a problem) ,решать/решить (проблему),Common verbs
to speak ,говорить/сказать,Common verbs
to spend (money) ,тратить/по- (деньги),Common verbs
to spend (time) ,проводить/провести (время),Common verbs
to stand ,стоять/по,Common verbs
to stand up ,вставать/встать,Common verbs
to steal ,красть/у,Common verbs
to stop ,останавливать(ся)/остановить(ся),Common verbs
"to stroll, go for a walk ",гулять/по,Common verbs
to study (a subject) ,изучать,Common verbs
to study (be a student) ,учиться,Common verbs
to sunbathe ,загорать,Common verbs
to swim ,плавать/плыть//поплыть,Common verbs
to switch off ,выключать/выключить,Common verbs
to take ,брать/взять,Common verbs
to take off (clothes etc) ,снимать/снять,Common verbs
to take off (plane) ,взлетать/взлететь,Common verbs
to take one's coat off ,раздеваться/раздеться,Common verbs
to taste ,пробовать/по,Common verbs
to tell/recount ,рассказывать/рассказать,Common verbs
to tell/to say ,говорить/сказать,Common verbs
to thank ,благодарить/по,Common verbs
to think (about) ,думать/по- (о чём-либо),Common verbs
to throw ,бросать/бросить,Common verbs
to touch ,трогать/тронуть,Common verbs
to travel ,путешествовать,Common verbs
to try ,пробовать/по,Common verbs
to understand ,понимать/понять,Common verbs
to use ,использовать,Common verbs
to use ,пользоваться/ис,Common verbs
to vacuum ,пылесосить/про,Common verbs
to visit (person) ,навещать/навестить,Common verbs
to visit (place) ,посещать/посетить,Common verbs
to wait for; to expect ,ждать/подождать,Common verbs
to wake up ,просыпаться/проснуться,Common verbs
to walk ,ходить/идти//пойти,Common verbs
to want ,хотеть/за,Common verbs
to warn ,предупреждать/предупредить,Common verbs
to wash ,мыть/вы,Common verbs
to wash (oneself) ,умываться/умыться,Common verbs
"to wash, launder ",стирать/по,Common verbs
to watch ,смотреть/по,Common verbs
to wear ,носить/нести//понести,Common verbs
to weigh (have weight) ,весить,Common verbs
to weigh (sth.) ,взвешивать/взвесить,Common verbs
to win ,выигрывать/выиграть,Common verbs
to wish ,желать/по,Common verbs
to work ,работать/по,Common verbs
to write ,писать/на,Common verbs
active ,активный,Common adjectives
alike; the same ,похож/-а/-е/и,Common adjectives
any sort of ,любой,Common adjectives
bad ,плохой,Common adjectives
"better, best ",лучший,Common adjectives
"big, large ",большой,Common adjectives
boring ,скучный,Common adjectives
cheap ,дешёвый,Common adjectives
children’s ,детский,Common adjectives
clean ,чистый,Common adjectives
"complex, complicated ",сложный,Common adjectives
cosy ,уютный,Common adjectives
dangerous ,опасный,Common adjectives
dirty ,грязный,Common adjectives
easy ,лёгкий,Common adjectives
every ,каждый,Common adjectives
excellent ,отличный,Common adjectives
"exciting, entertaining ",увлекательный,Common adjectives
expensive ,дорогой,Common adjectives
fair ,справедливый,Common adjectives
famous ,знаменитый,Common adjectives
fashionable ,модный,Common adjectives
fast ,быстрый,Common adjectives
fat ,толстый,Common adjectives
favourite ,любимый,Common adjectives
foreign ,иностранный,Common adjectives
former ,бывший,Common adjectives
free (at no cost) ,бесплатный,Common adjectives
"free (unoccupied, available) ",свободный,Common adjectives
friendly ,дружелюбный,Common adjectives
frightening ,страшный,Common adjectives
full ,полный,Common adjectives
fun; amusing ,забавный,Common adjectives
funny (comical) ,смешной,Common adjectives
generous ,щедрый,Common adjectives
genuine ,настоящий,Common adjectives
glad ,рад/-а/-о/-ы,Common adjectives
good ,хороший/-ая/-ее,Common adjectives
good (well behaved) ,послушный,Common adjectives
grateful ,благодарный,Common adjectives
great ,великий,Common adjectives
"happy, fortunate ",счастливый,Common adjectives
hard (not soft) ,твёрдый,Common adjectives
"hard, difficult ",трудный,Common adjectives
hardworking ,трудолюбивый,Common adjectives
harmful ,вредный,Common adjectives
healthy (food/way of life) ,здоровый,Common adjectives
heavy ,тяжёлый,Common adjectives
high; tall (building) ,высокий,Common adjectives
honest ,честный,Common adjectives
hot (of liquid) ,горячий,Common adjectives
huge ,огромный,Common adjectives
ideal ,идеальный,Common adjectives
ill (chronic) ,больной,Common adjectives
important ,важный,Common adjectives
in a good mood ,в хорошем настроении,Common adjectives
independent ,независимый,Common adjectives
intelligent; clever ,умный,Common adjectives
interesting ,интересный,Common adjectives
"jolly, happy ",весёлый,Common adjectives
kind ,добрый,Common adjectives
last ,последний,Common adjectives
lazy ,ленивый,Common adjectives
light ,светлый,Common adjectives
long ,длинный,Common adjectives
lost ,потерянный,Common adjectives
loud ,громкий,Common adjectives
magnificent ,великолепный,Common adjectives
main ,главный,Common adjectives
marvellous ,замечательный,Common adjectives
modern ,современный,Common adjectives
narrow ,узкий,Common adjectives
naughty ,непослушный,Common adjectives
"necessary, needed ",нужный,Common adjectives
"necessary, unavoidable ",необходимый,Common adjectives
negative ,негативный,Common adjectives
negative ,отрицательный,Common adjectives
new ,новый,Common adjectives
next ,следующий,Common adjectives
nice; likeable ,приятный,Common adjectives
noisy ,шумный,Common adjectives
normal ,обычный,Common adjectives
OK ,нормальный,Common adjectives
old ,старый,Common adjectives
old (former) ,бывший,Common adjectives
old fashioned ,старомодный,Common adjectives
open ,открытый,Common adjectives
optimistic ,оптимистичный,Common adjectives
original ,оригинальный,Common adjectives
other ,другой,Common adjectives
patient (im-) ,(не)терпеливый,Common adjectives
peaceful ,спокойный,Common adjectives
pessimistic ,пессимистичный,Common adjectives
"pleasant, nice ",приятный,Common adjectives
pleased ,довольный,Common adjectives
polite (im-) ,(не)вежливый,Common adjectives
poor ,бедный,Common adjectives
popular ,популярный,Common adjectives
possible ,возможный,Common adjectives
positive ,позитивный,Common adjectives
positive ,положительный,Common adjectives
practical ,практичный,Common adjectives
pretty ,симпатичный,Common adjectives
quiet ,тихий,Common adjectives
"ready, prepared ",готовый,Common adjectives
real ,реальный,Common adjectives
reasonable ,разумный,Common adjectives
recent ,недавний,Common adjectives
reliable ,надёжный,Common adjectives
responsible ,ответственный,Common adjectives
rich ,богатый,Common adjectives
sad ,грустный,Common adjectives
safe ,безопасный,Common adjectives
same ,одинаковый,Common adjectives
selfish ,эгоистичный,Common adjectives
sensational ,сенсационный,Common adjectives
serious ,серьёзный,Common adjectives
short ,короткий,Common adjectives
short (person) ,невысокий,Common adjectives
silent ,молчаливый,Common adjectives
silly ,глупый,Common adjectives
situated ,расположенный,Common adjectives
slender ,стройный,Common adjectives
slow ,медленный,Common adjectives
small ,маленький,Common adjectives
soft ,мягкий,Common adjectives
splendid ,прекрасный,Common adjectives
strange ,странный,Common adjectives
strict ,строгий,Common adjectives
strong ,сильный,Common adjectives
suitable ,подходящий,Common adjectives
super ,классный,Common adjectives
surprised ,удивлённый,Common adjectives
talkative ,разговорчивый,Common adjectives
terrible ,ужасный,Common adjectives
"thin, slim ",тонкий,Common adjectives
tired ,устал/-а/-о/и,Common adjectives
typical ,типичный,Common adjectives
ugly ,некрасивый,Common adjectives
unfair ,несправедливый,Common adjectives
unhappy ,несчастный,Common adjectives
unhealthy ,нездоровый,Common adjectives
unique ,уникальный,Common adjectives
unpleasant ,неприятный,Common adjectives
useful ,полезный,Common adjectives
useless ,бесполезный,Common adjectives
valuable ,ценный,Common adjectives
various ,разный,Common adjectives
weak ,слабый,Common adjectives
well-known ,известный,Common adjectives
wet ,мокрый,Common adjectives
wise ,мудрый,Common adjectives
wonderful ,чудесный,Common adjectives
worse ,худший,Common adjectives
young ,молодой,Common adjectives
younger ,младший,Common adjectives
(for) a long time ,долго,Common adverbs
again ,опять,Common adverbs
almost ,почти,Common adverbs
already ,уже,Common adverbs
also ,также,Common adverbs
always ,всегда,Common adverbs
approximately ,примерно,Common adverbs
badly ,плохо,Common adverbs
better ,лучше,Common adverbs
cheap(ly) ,дёшево,Common adverbs
completely ,совсем,Common adverbs
down (there) ,внизу,Common adverbs
earlier ,раньше,Common adverbs
early ,рано,Common adverbs
especially ,особенно,Common adverbs
everywhere ,везде,Common adverbs
fairly; quite ,довольно,Common adverbs
fortunately (un-) ,к счастью / к сожалению,Common adverbs
hardly ,вряд ли,Common adverbs
here ,тут,Common adverbs
here ,здесь,Common adverbs
inexpensive(ly) ,недорого,Common adverbs
later ,позже,Common adverbs
long ago ,давно,Common adverbs
loud(ly) ,громко,Common adverbs
never ,никогда,Common adverbs
not yet ,ещё не(т),Common adverbs
nowhere ,нигде,Common adverbs
often ,часто,Common adverbs
only ,только,Common adverbs
over there ,вон там,Common adverbs
perhaps ,может быть,Common adverbs
possibly ,возможно,Common adverbs
practically ,практически,Common adverbs
quickly ,быстро,Common adverbs
rarely ,редко,Common adverbs
rather ,скорее,Common adverbs
recently ,недавно,Common adverbs
regularly ,регулярно,Common adverbs
similarly ,также,Common adverbs
simply ,просто,Common adverbs
slowly ,медленно,Common adverbs
sometimes ,иногда,Common adverbs
somewhere ,где-то,Common adverbs
soon ,скоро,Common adverbs
still ,(всё) ещё,Common adverbs
straight away ,сразу,Common adverbs
there ,там,Common adverbs
to here ,сюда,Common adverbs
to there ,туда,Common adverbs
together ,вместе,Common adverbs
too ,тоже,Common adverbs
up (there) ,наверху,Common adverbs
usually ,обычно,Common adverbs
very ,очень,Common adverbs
very ,очень,Common adverbs
well ,хорошо,Common adverbs
worse ,хуже,Common adverbs
about ,о,Prepositions
after ,после,Prepositions
among ,"среди, между",Prepositions
around ,вокруг,Prepositions
at ,"в, на",Prepositions
at (someone’s house) ,у,Prepositions
at the back ,сзади,Prepositions
because of ,из-за,Prepositions
before ,до,Prepositions
behind ,за,Prepositions
between ,между,Prepositions
far from ,далеко от,Prepositions
from ,от,Prepositions
in ,в,Prepositions
in front of ,перед,Prepositions
in the background ,на заднем плане,Prepositions
in the foreground ,на переднем плане,Prepositions
in the middle (of) ,среди,Prepositions
near (to) ,около,Prepositions
near (to) ,близко от,Prepositions
next to ,рядом с,Prepositions
on ,на,Prepositions
onto ,на,Prepositions
opposite ,напротив,Prepositions
outside ,снаружи,Prepositions
through ,через,Prepositions
to ,"в, на",Prepositions
towards ,к,Prepositions
under ,под,Prepositions
until ,до,Prepositions
with ,с,Prepositions
black ,чёрный,Colours
blue (dark) ,синий,Colours
bronze ,бронзовый,Colours
brown ,коричневый,Colours
brown (eyes) ,карий,Colours
chestnut brown ,каштановый,Colours
dark ,тёмный,Colours
gold ,золотой,Colours
green ,зелёный,Colours
grey ,серый,Colours
grey (hair) ,седой,Colours
light ,светлый,Colours
light blue ,голубой,Colours
orange ,оранжевый,Colours
pink ,розовый,Colours
purple ,лиловый/пурпурный,Colours
red ,красный,Colours
red (of hair) ,рыжий,Colours
silver ,серебряный,Colours
violet ,фиолетовый,Colours
white ,белый,Colours
yellow ,жёлтый,Colours
1,один,Numbers
2,два,Numbers
3,три,Numbers
4,четыре,Numbers
5,пять,Numbers
6,шесть,Numbers
7,семь,Numbers
8,восемь,Numbers
9,девять,Numbers
10,десять,Numbers
11,одиннадцать,Numbers
12,двенадцать,Numbers
13,тринадцать,Numbers
14,четырнадцать,Numbers
15,пятнадцать,Numbers
16,шестнадцать,Numbers
17,семнадцать,Numbers
18,восемнадцать,Numbers
19,девятнадцать,Numbers
20,двадцать,Numbers
21,двадцать один,Numbers
22,двадцать два,Numbers
23,двадцать три,Numbers
24,двадцать четыре,Numbers
25,двадцать пять,Numbers
26,двадцать шесть,Numbers
27,двадцать семь,Numbers
28,двадцать восемь,Numbers
29,двадцать девять,Numbers
30,тридцать,Numbers
31,тридцать один,Numbers
32 etc ,тридцать два и т. д.,Numbers
40,сорок,Numbers
50,пятьдесят,Numbers
60,шестьдесят,Numbers
70,семьдесят,Numbers
80,восемьдесят,Numbers
90,девяносто,Numbers
100,сто,Numbers
101,сто один,Numbers
120,сто двадцать,Numbers
200,двести,Numbers
1000,тысяча,Numbers
1100,тысяча сто,Numbers
2000,две тысячи,Numbers
1.000.000 ,один миллион,Numbers
2.000.000 ,два миллиона,Numbers
first ,первый,Ordinal numbers
second ,второй,Ordinal numbers
third ,третий,Ordinal numbers
fourth ,четвёртый,Ordinal numbers
fifth ,пятый,Ordinal numbers
sixth ,шестой,Ordinal numbers
seventh ,седьмой,Ordinal numbers
eight ,восьмой,Ordinal numbers
ninth ,девятый,Ordinal numbers
tenth ,десятый,Ordinal numbers
eleventh ,одиннадцатый,Ordinal numbers
twelfth ,двенадцатый,Ordinal numbers
twenty first ,двадцать первый,Ordinal numbers
a bottle ,бутылка,Quantities and measures
a box ,коробка,Quantities and measures
a jar ,банка,Quantities and measures
a kilo ,килограмм,Quantities and measures
a litre ,литр,Quantities and measures
a little ,немного,Quantities and measures
a lot ,много,Quantities and measures
a packet ,пачка,Quantities and measures
a piece ,кусок,Quantities and measures
a slice ,кусочек,Quantities and measures
about a hundred ,сотня,Quantities and measures
centimetre ,сантиметр,Quantities and measures
enough ,достаточно,Quantities and measures
gramme ,грамм,Quantities and measures
half ,половина,Quantities and measures
kilometre ,километр,Quantities and measures
less ,меньше,Quantities and measures
majority ,большинство,Quantities and measures
many ,много,Quantities and measures
metre ,метр,Quantities and measures
more ,больше,Quantities and measures
not much/not many ,мало,Quantities and measures
percent(age) ,процент,Quantities and measures
quantity ,количество,Quantities and measures
quarter ,четверть,Quantities and measures
several ,несколько,Quantities and measures
some ,некоторые,Quantities and measures
third ,треть,Quantities and measures
too ,слишком,Quantities and measures
weight ,вес,Quantities and measures
also ,также,Some useful connecting words
although ,хотя,Some useful connecting words
and ,и,Some useful connecting words
"as, since ","так, как",Some useful connecting words
because ,потому что,Some useful connecting words
because of ,из-за,Some useful connecting words
but ,но,Some useful connecting words
even ,даже,Some useful connecting words
finally ,наконец,Some useful connecting words
first of all ,прежде всего,Some useful connecting words
however ,однако,Some useful connecting words
if ,если,Some useful connecting words
in order to ,чтобы,Some useful connecting words
in short ,короче говоря,Some useful connecting words
it is obvious ,очевидно,Some useful connecting words
moreover ,к тому же,Some useful connecting words
neither… nor… ,ни…. ни ….,Some useful connecting words
or ,или,Some useful connecting words
perhaps ,возможно,Some useful connecting words
so ,"итак, так",Some useful connecting words
then ,тогда,Some useful connecting words
"then, next ",потом,Some useful connecting words
therefore ,поэтому,Some useful connecting words
"this is, here is ",это,Some useful connecting words
whether ,ли,Some useful connecting words
after ,после,Time expressions
ago ,назад,Time expressions
already ,уже,Time expressions
always ,всегда,Time expressions
as soon as ,как только,Time expressions
at night ,ночью,Time expressions
at the same time ,в одно и то же время,Time expressions
at the start ,в начале,Time expressions
before ,до,Time expressions
day ,день,Time expressions
day (24 hours) ,сутки,Time expressions
day off ,выходной,Time expressions
during ,"во время, в течение",Time expressions
early ,рано,Time expressions
evening ,вечер,Time expressions
every day ,каждый день,Time expressions
fortnight ,две недели,Time expressions
from ,от,Time expressions
from time to time ,время от времени,Time expressions
hour ,час,Time expressions
immediately ,сразу,Time expressions
in the afternoon ,днём,Time expressions
in the evening ,вечером,Time expressions
in the morning ,утром,Time expressions
in the night ,ночью,Time expressions
last night (during the night) ,прошлой ночью,Time expressions
last night (yesterday evening) ,вчера вечером,Time expressions
late ,поздно,Time expressions
later ,позже,Time expressions
midday ,полдень,Time expressions
midnight ,полночь,Time expressions
minute ,минута,Time expressions
morning ,утро,Time expressions
night ,ночь,Time expressions
now ,теперь,Time expressions
on time ,вовремя,Time expressions
once ,один раз,Time expressions
"once, one day ",однажды,Time expressions
right now ,сейчас,Time expressions
since ,с,Time expressions
soon ,скоро,Time expressions
the day after tomorrow ,послезавтра,Time expressions
the day before yesterday ,позавчера,Time expressions
the day/evening before ,накануне,Time expressions
the next day; following day ,на следующий день,Time expressions
time ,время,Time expressions
today ,сегодня,Time expressions
tomorrow ,завтра,Time expressions
twice ,два раза,Time expressions
week ,неделя,Time expressions
weekend ,выходные; уик-энд,Time expressions
what is the time? ,который час?,Time expressions
year/s ,год/лет,Time expressions
yesterday ,вчера,Time expressions
1 a.m. ,1 час ночи,Times of day
1 p.m. ,1 час дня,Times of day
nine o’clock in the evening ,девять часов вечера,Times of day
13,13,Times of day
at exactly 2 o’clock ,ровно в 2 часа,Times of day
at about……. o’clock ,примерно в .... часа/часов,Times of day
it is five past three ,пять минут четвёртого,Times of day
five to three ,без пяти три,Times of day
half past nine ,"половина десятого, полдесятого",Times of day
ten past four ,десять минут пятого,Times of day
ten to four ,без десяти четыре,Times of day
quarter to six ,без четверти шесть,Times of day
quarter past seven ,четверть восьмого,Times of day
Monday ,понедельник,Days of the week
Tuesday ,вторник,Days of the week
Wednesday ,среда,Days of the week
Thursday ,четверг,Days of the week
Friday ,пятница,Days of the week
Saturday ,суббота,Days of the week
Sunday ,воскресенье,Days of the week
(on) Monday ,в понедельник,Days of the week
(on) Monday morning ,в понедельник утром,Days of the week
(on) Monday evening ,в понедельник вечером,Days of the week
on Mondays ,по понедельникам,Days of the week
every Monday ,каждый понедельник,Days of the week
month ,месяц,Months and seasons of the year
January ,январь,Months and seasons of the year
February ,февраль,Months and seasons of the year
March ,март,Months and seasons of the year
April ,апрель,Months and seasons of the year
May ,май,Months and seasons of the year
June ,июнь,Months and seasons of the year
July ,июль,Months and seasons of the year
August ,август,Months and seasons of the year
September ,сентябрь,Months and seasons of the year
October ,октябрь,Months and seasons of the year
November ,ноябрь,Months and seasons of the year
December ,декабрь,Months and seasons of the year
season ,"сезон, время года",Months and seasons of the year
autumn (in) ,осень (осенью),Months and seasons of the year
spring (in) ,весна (весной),Months and seasons of the year
summer (in) ,лето (летом),Months and seasons of the year
winter (in) ,зима (зимой),Months and seasons of the year
(at) what time? ,"во сколько?, в котором часу?",Question words
from where? ,откуда?,Question words
"how much, how many? ",сколько?,Question words
how? ,как?,Question words
to there? ,туда?,Question words
to where? ,куда?,Question words
what colour? ,какого цвета?,Question words
what like? ,какой?,Question words
what/which? ,какой/который?,Question words
what? ,что?,Question words
when? ,когда?,Question words
where? ,где?,Question words
who? ,кто?,Question words
why? ,почему?,Question words
agree ,согласен/согласна/согласно/согласны,Other useful expressions
all the better ,тем лучше,Other useful expressions
false (this is) ,(это) неправда,Other useful expressions
"finally, ultimately ",в конце концов,Other useful expressions
good luck ,"удачи, счастливо",Other useful expressions
great! ,супер!,Other useful expressions
here is/are ,вот,Other useful expressions
how do I get (to)? ,как мне пройти (в)?,Other useful expressions
how do you spell that? ,как это пишется?,Other useful expressions
I don’t know ,я не знаю,Other useful expressions
I don’t mind ,я не против / мне всё равно,Other useful expressions
I don’t understand ,я не понимаю,Other useful expressions
I like it ,это нравится мне,Other useful expressions
I’m fine; it’s OK ,у меня всё в порядке; всё нормально,Other useful expressions
I’ve had enough ,"достаточно, хватит",Other useful expressions
in general ,вообще,Other useful expressions
in my opinion ,по-моему,Other useful expressions
in my view ,на мой взгляд,Other useful expressions
it annoys me ,это раздражает меня,Other useful expressions
it depends ,это зависит,Other useful expressions
it doesn’t matter ,это неважно,Other useful expressions
it makes me laugh ,это смешно,Other useful expressions
it’s all the same to me ,мне всё равно,Other useful expressions
let’s ,давай/те,Other useful expressions
most of all ,больше всего,Other useful expressions
must ,должен/должна/должно/должный,Other useful expressions
of course ,конечно,Other useful expressions
okay (in agreement) ,ладно,Other useful expressions
once again ,ещё раз,Other useful expressions
one of the following ,один/одна/одно из следующих,Other useful expressions
personally ,лично,Other useful expressions
so much the better ,тем лучше,Other useful expressions
"so, so ",ничего,Other useful expressions
suddenly ,вдруг,Other useful expressions
that doesn’t interest me ,это меня не интересует,Other useful expressions
that’s enough ,"хватит, достаточно",Other useful expressions
the thing is that … ,"дело в том, что ….",Other useful expressions
there is/are ,есть,Other useful expressions
"too bad, what a shame ","очень жаль, как жалко",Other useful expressions
true (this is) ,(это) правда,Other useful expressions
well done! ,молодец!,Other useful expressions
what does that mean? ,что это значит?,Other useful expressions
what is it like? ,как это?,Other useful expressions
with pleasure ,с удовольствием,Other useful expressions
you are not allowed to ,нельзя,Other useful expressions
you can (one can) ,можно,Other useful expressions
you must (one must) ,надо,Other useful expressions
apart from ,кроме,Other high-frequency words
"as, like ",как,Other high-frequency words
end ,конец,Other high-frequency words
everybody ,все,Other high-frequency words
